timestamp,model,Training Loss,Epoch,Step,Validation Loss,Accuracy,F1,model_path,samples_per_s,steps_per_s,colab,per_device_train_batch_size,per_device_eval_batch_size,split,target_map,binary,balanced
2024-04-14_21-14,michellejieli/emotion_text_classifier,0.965,1.0,254,0.749,0.698,0.457,output/models/michellejieli/emotion_text_classifier_2024-04-14_21-14,39.854,4.992,False,8,64,"(0.8, 0.1, 0.1)","{'Negative': 0, 'No_pathos': 1, 'Positive': 2}",False,True
2024-04-14_21-14,michellejieli/emotion_text_classifier,0.738,2.0,508,1.252,0.42,0.345,output/models/michellejieli/emotion_text_classifier_2024-04-14_21-14,39.854,4.992,False,8,64,"(0.8, 0.1, 0.1)","{'Negative': 0, 'No_pathos': 1, 'Positive': 2}",False,True
2024-04-14_21-14,michellejieli/emotion_text_classifier,0.492,3.0,762,0.978,0.636,0.448,output/models/michellejieli/emotion_text_classifier_2024-04-14_21-14,39.854,4.992,False,8,64,"(0.8, 0.1, 0.1)","{'Negative': 0, 'No_pathos': 1, 'Positive': 2}",False,True
2024-04-14_21-14,michellejieli/emotion_text_classifier,0.288,4.0,1016,2.421,0.501,0.388,output/models/michellejieli/emotion_text_classifier_2024-04-14_21-14,39.854,4.992,False,8,64,"(0.8, 0.1, 0.1)","{'Negative': 0, 'No_pathos': 1, 'Positive': 2}",False,True
2024-04-14_21-14,michellejieli/emotion_text_classifier,0.172,5.0,1270,2.449,0.558,0.413,output/models/michellejieli/emotion_text_classifier_2024-04-14_21-14,39.854,4.992,False,8,64,"(0.8, 0.1, 0.1)","{'Negative': 0, 'No_pathos': 1, 'Positive': 2}",False,True
2024-04-14_21-14,michellejieli/emotion_text_classifier,0.1,6.0,1524,2.501,0.608,0.434,output/models/michellejieli/emotion_text_classifier_2024-04-14_21-14,39.854,4.992,False,8,64,"(0.8, 0.1, 0.1)","{'Negative': 0, 'No_pathos': 1, 'Positive': 2}",False,True
2024-04-14_21-14,michellejieli/emotion_text_classifier,0.054,7.0,1778,3.139,0.548,0.407,output/models/michellejieli/emotion_text_classifier_2024-04-14_21-14,39.854,4.992,False,8,64,"(0.8, 0.1, 0.1)","{'Negative': 0, 'No_pathos': 1, 'Positive': 2}",False,True
2024-04-14_21-14,michellejieli/emotion_text_classifier,0.036,8.0,2032,3.157,0.57,0.418,output/models/michellejieli/emotion_text_classifier_2024-04-14_21-14,39.854,4.992,False,8,64,"(0.8, 0.1, 0.1)","{'Negative': 0, 'No_pathos': 1, 'Positive': 2}",False,True
2024-04-14_21-14,michellejieli/emotion_text_classifier,0.014,9.0,2286,3.654,0.527,0.399,output/models/michellejieli/emotion_text_classifier_2024-04-14_21-14,39.854,4.992,False,8,64,"(0.8, 0.1, 0.1)","{'Negative': 0, 'No_pathos': 1, 'Positive': 2}",False,True
2024-04-14_21-14,michellejieli/emotion_text_classifier,0.006,10.0,2540,3.603,0.533,0.401,output/models/michellejieli/emotion_text_classifier_2024-04-14_21-14,39.854,4.992,False,8,64,"(0.8, 0.1, 0.1)","{'Negative': 0, 'No_pathos': 1, 'Positive': 2}",False,True
2024-04-14_21-22,michellejieli/emotion_text_classifier,0.583,1.0,1754,0.614,0.71,0.647,output/models/michellejieli/emotion_text_classifier_2024-04-14_21-22,257.397,32.181,False,8,64,"(0.8, 0.1, 0.1)","{'Pathos': 0, 'No_pathos': 1}",True,False
2024-04-14_21-22,michellejieli/emotion_text_classifier,0.508,2.0,3508,0.629,0.728,0.653,output/models/michellejieli/emotion_text_classifier_2024-04-14_21-22,257.397,32.181,False,8,64,"(0.8, 0.1, 0.1)","{'Pathos': 0, 'No_pathos': 1}",True,False
2024-04-14_21-22,michellejieli/emotion_text_classifier,0.422,3.0,5262,0.757,0.723,0.645,output/models/michellejieli/emotion_text_classifier_2024-04-14_21-22,257.397,32.181,False,8,64,"(0.8, 0.1, 0.1)","{'Pathos': 0, 'No_pathos': 1}",True,False
2024-04-14_21-22,michellejieli/emotion_text_classifier,0.341,4.0,7016,1.091,0.709,0.658,output/models/michellejieli/emotion_text_classifier_2024-04-14_21-22,257.397,32.181,False,8,64,"(0.8, 0.1, 0.1)","{'Pathos': 0, 'No_pathos': 1}",True,False
2024-04-14_21-22,michellejieli/emotion_text_classifier,0.288,5.0,8770,1.103,0.715,0.657,output/models/michellejieli/emotion_text_classifier_2024-04-14_21-22,257.397,32.181,False,8,64,"(0.8, 0.1, 0.1)","{'Pathos': 0, 'No_pathos': 1}",True,False
2024-04-14_21-22,michellejieli/emotion_text_classifier,0.212,6.0,10524,1.258,0.703,0.653,output/models/michellejieli/emotion_text_classifier_2024-04-14_21-22,257.397,32.181,False,8,64,"(0.8, 0.1, 0.1)","{'Pathos': 0, 'No_pathos': 1}",True,False
2024-04-14_21-22,michellejieli/emotion_text_classifier,0.157,7.0,12278,1.436,0.685,0.636,output/models/michellejieli/emotion_text_classifier_2024-04-14_21-22,257.397,32.181,False,8,64,"(0.8, 0.1, 0.1)","{'Pathos': 0, 'No_pathos': 1}",True,False
2024-04-14_21-22,michellejieli/emotion_text_classifier,0.118,8.0,14032,1.648,0.721,0.671,output/models/michellejieli/emotion_text_classifier_2024-04-14_21-22,257.397,32.181,False,8,64,"(0.8, 0.1, 0.1)","{'Pathos': 0, 'No_pathos': 1}",True,False
2024-04-14_21-22,michellejieli/emotion_text_classifier,0.092,9.0,15786,1.783,0.706,0.65,output/models/michellejieli/emotion_text_classifier_2024-04-14_21-22,257.397,32.181,False,8,64,"(0.8, 0.1, 0.1)","{'Pathos': 0, 'No_pathos': 1}",True,False
2024-04-14_21-22,michellejieli/emotion_text_classifier,0.062,10.0,17540,1.943,0.703,0.649,output/models/michellejieli/emotion_text_classifier_2024-04-14_21-22,257.397,32.181,False,8,64,"(0.8, 0.1, 0.1)","{'Pathos': 0, 'No_pathos': 1}",True,False
2024-04-14_21-31,michellejieli/emotion_text_classifier,0.646,1.0,990,0.466,0.809,0.625,output/models/michellejieli/emotion_text_classifier_2024-04-14_21-31,147.565,18.446,False,8,64,"(0.8, 0.1, 0.1)","{'Pathos': 0, 'No_pathos': 1}",True,True
2024-04-14_21-31,michellejieli/emotion_text_classifier,0.544,2.0,1980,0.697,0.65,0.553,output/models/michellejieli/emotion_text_classifier_2024-04-14_21-31,147.565,18.446,False,8,64,"(0.8, 0.1, 0.1)","{'Pathos': 0, 'No_pathos': 1}",True,True
